investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Damiba Investment Group,Commit,1700,250,10,Above,0,218,42.1,Bookrunner,Bookrunner,None,0.1931192661,0.1470588235
Cold Cut Credit,Commit,400,80,4,Market,1,42,16.1,Bookrunner,Bookrunner,None,0.3833333333,0.2
Ipanema Investments,Commit,800,120,3,Market,2,55,8.5,Bookrunner,Bookrunner,None,0.1545454545,0.15
Cold Cut Credit,Commit,600,100,2,Market,2,74,9.5,Bookrunner,Bookrunner,None,0.1283783784,0.1666666667
Bank of Pepperoni Pizza,Decline,900,130,4,Below,1,74,11.8,Bookrunner,Bookrunner,None,0.1594594595,0.1444444444
Damiba Investment Group,Commit,800,120,2,Market,2,93,18.9,Bookrunner,Bookrunner,None,0.2032258065,0.15
Beef and Broccoli Union,Commit,1500,270,10,Market,0,12,3.1,Participant,Bookrunner,Promoted,0.2583333333,0.18
Ipanema Investments,Commit,1100,160,9,Market,0,129,32.9,Bookrunner,Bookrunner,None,0.2550387597,0.1454545455
Damiba Investment Group,Commit,1100,220,8,Market,0,100,16.4,Bookrunner,Bookrunner,None,0.164,0.2
Cold Cut Credit,Commit,900,150,2,Below,2,83,21.2,Bookrunner,Bookrunner,None,0.2554216867,0.1666666667
Ipanema Investments,Commit,700,120,3,Market,2,68,7.1,Bookrunner,Bookrunner,None,0.1044117647,0.1714285714
Beef and Broccoli Union,Decline,1400,290,7,Market,0,50,2.6,Bookrunner,Bookrunner,None,0.052,0.2071428571
Ipanema Investments,Commit,800,180,3,Market,1,36,14,Bookrunner,Bookrunner,None,0.3888888889,0.225
Damiba Investment Group,Commit,800,130,2,Market,2,78,2.3,Bookrunner,Bookrunner,None,0.02948717949,0.1625
Ipanema Investments,Commit,1200,130,4,Below,1,136,35.2,Bookrunner,Participant,Demoted,0.2588235294,0.1083333333
Bank of Pepperoni Pizza,Commit,200,40,3,Market,2,24,3,Bookrunner,Bookrunner,None,0.125,0.2
Damiba Investment Group,Commit,900,230,1,Market,2,93,38.4,Bookrunner,Bookrunner,None,0.4129032258,0.2555555556
Ipanema Investments,Commit,1100,120,4,Market,1,147,7.4,Participant,Participant,None,0.05034013605,0.1090909091
Bank of Pepperoni Pizza,Commit,900,170,1,Market,2,117,33.5,Bookrunner,Bookrunner,None,0.2863247863,0.1888888889
Bank of Pepperoni Pizza,Commit,700,120,2,Market,2,46,0.8,Bookrunner,Bookrunner,None,0.01739130435,0.1714285714
Bank of Pepperoni Pizza,Commit,500,60,2,Above,1,49,2.2,Bookrunner,Bookrunner,None,0.04489795918,0.12
Bank of Pepperoni Pizza,Commit,400,60,2,Market,3,64,2.1,Bookrunner,Bookrunner,None,0.0328125,0.15
Damiba Investment Group,Commit,1500,280,3,Market,3,254,33.5,Bookrunner,Bookrunner,None,0.1318897638,0.1866666667
Cold Cut Credit,Commit,400,70,1,Below,2,59,1.5,Participant,Bookrunner,Promoted,0.02542372881,0.175
Bank of Pepperoni Pizza,Commit,1100,180,7,Market,0,65,18.7,Bookrunner,Bookrunner,None,0.2876923077,0.1636363636
Cold Cut Credit,Commit,1400,240,4,Market,1,177,25.5,Bookrunner,Bookrunner,None,0.1440677966,0.1714285714
Bank of Pepperoni Pizza,Commit,1100,180,4,Market,1,104,27.6,Bookrunner,Bookrunner,None,0.2653846154,0.1636363636
Damiba Investment Group,Commit,1200,220,1,Above,2,193,48.6,Bookrunner,Bookrunner,None,0.2518134715,0.1833333333
Beef and Broccoli Union,Decline,1000,70,4,Market,1,56,4.9,Bookrunner,Participant,Demoted,0.0875,0.07
Beef and Broccoli Union,Decline,1000,110,8,Market,0,24,1.5,Participant,Participant,None,0.0625,0.11
Cold Cut Credit,Commit,1300,180,7,Market,0,137,14.2,Bookrunner,Bookrunner,None,0.103649635,0.1384615385
Cold Cut Credit,Commit,1800,270,8,Market,0,211,8.2,Bookrunner,Bookrunner,None,0.03886255924,0.15
Beef and Broccoli Union,Decline,700,100,2,Market,2,87,3.8,Bookrunner,Bookrunner,None,0.04367816092,0.1428571429
Damiba Investment Group,Commit,1700,360,1,Market,2,107,34,Bookrunner,Bookrunner,None,0.3177570093,0.2117647059
Ipanema Investments,Commit,300,30,2,Market,2,25,3.4,Participant,Participant,None,0.136,0.1
Beef and Broccoli Union,Decline,1200,130,3,Market,2,117,24.9,Bookrunner,Participant,Demoted,0.2128205128,0.1083333333
Damiba Investment Group,Commit,1200,200,6,Market,0,50,3,Bookrunner,Bookrunner,None,0.06,0.1666666667
Beef and Broccoli Union,Commit,700,120,3,Market,2,43,9,Participant,Bookrunner,Promoted,0.2093023256,0.1714285714
Cold Cut Credit,Commit,1000,170,4,Below,0,41,4.7,Bookrunner,Bookrunner,None,0.1146341463,0.17
Bank of Pepperoni Pizza,Commit,1500,220,9,Market,0,163,33.1,Bookrunner,Bookrunner,None,0.2030674847,0.1466666667
Ipanema Investments,Commit,700,110,1,Market,2,36,7.6,Bookrunner,Bookrunner,None,0.2111111111,0.1571428571
Ipanema Investments,Commit,700,130,3,Market,2,63,5.9,Bookrunner,Bookrunner,None,0.09365079365,0.1857142857
Ipanema Investments,Commit,1600,360,8,Above,1,277,102.5,Bookrunner,Bookrunner,None,0.3700361011,0.225
Cold Cut Credit,Commit,1600,200,10,Above,0,123,29.6,Bookrunner,Bookrunner,None,0.2406504065,0.125
Ipanema Investments,Commit,1800,340,2,Market,2,143,42.5,Bookrunner,Bookrunner,None,0.2972027972,0.1888888889
Damiba Investment Group,Commit,1200,210,6,Below,1,133,2.8,Bookrunner,Bookrunner,None,0.02105263158,0.175
Ipanema Investments,Commit,700,120,2,Market,2,57,5.9,Bookrunner,Bookrunner,None,0.1035087719,0.1714285714
Ipanema Investments,Commit,1300,150,10,Market,0,112,13.4,Participant,Participant,None,0.1196428571,0.1153846154
Ipanema Investments,Commit,800,120,2,Market,2,92,5.5,Bookrunner,Bookrunner,None,0.0597826087,0.15
Ipanema Investments,Decline,1000,120,7,Market,1,157,23.1,Bookrunner,Participant,Demoted,0.147133758,0.12
Bank of Pepperoni Pizza,Commit,1400,300,5,Below,1,153,28.2,Bookrunner,Bookrunner,None,0.1843137255,0.2142857143
Damiba Investment Group,Decline,900,100,2,Market,2,92,20.2,Bookrunner,Participant,Demoted,0.2195652174,0.1111111111
Ipanema Investments,Commit,200,30,2,Market,3,31,3.8,Participant,Bookrunner,Promoted,0.1225806452,0.15
Damiba Investment Group,Commit,800,110,2,Market,3,136,31.8,Bookrunner,Bookrunner,None,0.2338235294,0.1375
Ipanema Investments,Commit,900,110,4,Below,1,74,6.7,Bookrunner,Bookrunner,None,0.09054054054,0.1222222222
Ipanema Investments,Commit,1000,120,5,Market,2,173,8,Bookrunner,Bookrunner,None,0.04624277457,0.12
Cold Cut Credit,Decline,200,30,2,Market,2,23,1.3,Bookrunner,Bookrunner,None,0.05652173913,0.15
Ipanema Investments,Commit,1000,130,10,Market,1,161,29.9,Bookrunner,Bookrunner,None,0.1857142857,0.13
Beef and Broccoli Union,Decline,1000,110,2,Market,2,91,9.9,Bookrunner,Participant,Demoted,0.1087912088,0.11
Ipanema Investments,Commit,1500,300,5,Market,1,204,10.2,Bookrunner,Bookrunner,None,0.05,0.2
Ipanema Investments,Commit,1000,170,5,Market,1,66,21.6,Bookrunner,Bookrunner,None,0.3272727273,0.17
Bank of Pepperoni Pizza,Commit,1000,180,5,Market,1,66,16.2,Bookrunner,Bookrunner,None,0.2454545455,0.18
Beef and Broccoli Union,Commit,1500,220,6,Above,1,189,36.5,Bookrunner,Bookrunner,None,0.1931216931,0.1466666667
Ipanema Investments,Commit,700,90,3,Above,2,67,13.3,Bookrunner,Bookrunner,None,0.1985074627,0.1285714286
Bank of Pepperoni Pizza,Commit,1800,240,6,Above,1,131,32.2,Bookrunner,Bookrunner,None,0.2458015267,0.1333333333
Beef and Broccoli Union,Commit,1300,300,5,Market,1,127,4.4,Participant,Bookrunner,Promoted,0.03464566929,0.2307692308
Cold Cut Credit,Decline,200,20,3,Market,2,17,2,Bookrunner,Participant,Demoted,0.1176470588,0.1
Bank of Pepperoni Pizza,Commit,200,40,2,Market,3,30,7,Bookrunner,Bookrunner,None,0.2333333333,0.2
Damiba Investment Group,Commit,1000,150,6,Market,1,91,25.1,Bookrunner,Bookrunner,None,0.2758241758,0.15
Bank of Pepperoni Pizza,Commit,800,70,3,Above,2,116,12.6,Bookrunner,Participant,Demoted,0.1086206897,0.0875
Cold Cut Credit,Commit,1200,170,1,Above,3,191,42.2,Bookrunner,Bookrunner,None,0.2209424084,0.1416666667
Cold Cut Credit,Commit,200,30,2,Market,1,4,0.8,Bookrunner,Bookrunner,None,0.2,0.15
Beef and Broccoli Union,Decline,1500,160,9,Market,0,163,29,Bookrunner,Participant,Demoted,0.1779141104,0.1066666667
Damiba Investment Group,Commit,400,70,2,Market,2,43,0.6,Bookrunner,Bookrunner,None,0.01395348837,0.175
Ipanema Investments,Commit,1300,180,4,Market,1,120,0.6,Participant,Bookrunner,Promoted,0.005,0.1384615385
Damiba Investment Group,Commit,800,100,3,Market,2,118,19.6,Participant,Bookrunner,Promoted,0.1661016949,0.125
Damiba Investment Group,Commit,1200,140,6,Market,1,73,9.1,Bookrunner,Bookrunner,None,0.1246575342,0.1166666667
Ipanema Investments,Commit,800,100,2,Market,1,36,0,Participant,Bookrunner,Promoted,0,0.125
Bank of Pepperoni Pizza,Commit,800,110,1,Above,2,61,7.4,Bookrunner,Bookrunner,None,0.1213114754,0.1375
Bank of Pepperoni Pizza,Commit,1700,360,2,Market,2,207,15.9,Bookrunner,Bookrunner,None,0.0768115942,0.2117647059
Ipanema Investments,Decline,1400,200,9,Market,0,85,3.1,Bookrunner,Bookrunner,None,0.03647058824,0.1428571429
Bank of Pepperoni Pizza,Commit,1000,110,2,Market,3,154,25.6,Bookrunner,Participant,Demoted,0.1662337662,0.11
Cold Cut Credit,Decline,600,80,3,Market,2,55,1.7,Bookrunner,Bookrunner,None,0.03090909091,0.1333333333
Ipanema Investments,Decline,800,90,2,Market,3,131,29.7,Bookrunner,Participant,Demoted,0.2267175573,0.1125
Cold Cut Credit,Commit,900,140,1,Market,1,21,0,Participant,Bookrunner,Promoted,0,0.1555555556
Beef and Broccoli Union,Commit,1300,220,10,Market,0,160,38.1,Bookrunner,Bookrunner,None,0.238125,0.1692307692
Beef and Broccoli Union,Commit,1100,150,2,Market,2,136,29,Bookrunner,Bookrunner,None,0.2132352941,0.1363636364
Bank of Pepperoni Pizza,Commit,800,160,2,Market,2,117,30,Bookrunner,Bookrunner,None,0.2564102564,0.2
Cold Cut Credit,Commit,1400,210,7,Below,0,154,38.7,Bookrunner,Bookrunner,None,0.2512987013,0.15
Cold Cut Credit,Decline,1300,210,5,Market,0,49,1.6,Bookrunner,Bookrunner,None,0.03265306122,0.1615384615
Cold Cut Credit,Decline,1200,130,5,Market,1,97,12,Bookrunner,Participant,Demoted,0.1237113402,0.1083333333
Damiba Investment Group,Commit,1300,140,7,Market,0,181,48.3,Bookrunner,Participant,Demoted,0.2668508287,0.1076923077
Bank of Pepperoni Pizza,Decline,500,40,3,Market,2,55,3.4,Bookrunner,Participant,Demoted,0.06181818182,0.08
Damiba Investment Group,Commit,500,50,4,Market,1,57,3,Participant,Participant,None,0.05263157895,0.1
Beef and Broccoli Union,Decline,600,70,3,Market,3,95,22.7,Bookrunner,Participant,Demoted,0.2389473684,0.1166666667
Bank of Pepperoni Pizza,Commit,1700,230,9,Market,0,150,25.2,Bookrunner,Bookrunner,None,0.168,0.1352941176
Beef and Broccoli Union,Commit,800,120,4,Market,1,107,15.7,Bookrunner,Bookrunner,None,0.146728972,0.15
Cold Cut Credit,Commit,1200,190,10,Market,1,235,51.9,Bookrunner,Bookrunner,None,0.2208510638,0.1583333333
Cold Cut Credit,Commit,800,160,2,Market,1,34,8.8,Bookrunner,Bookrunner,None,0.2588235294,0.2
Cold Cut Credit,Decline,500,30,3,Market,2,43,6,Bookrunner,Participant,Demoted,0.1395348837,0.06
Beef and Broccoli Union,Decline,500,30,2,Market,2,43,3.7,Bookrunner,Participant,Demoted,0.08604651163,0.06
Beef and Broccoli Union,Commit,1500,200,6,Market,0,44,9.8,Bookrunner,Bookrunner,None,0.2227272727,0.1333333333
Ipanema Investments,Decline,600,90,4,Market,1,66,2.8,Bookrunner,Bookrunner,None,0.04242424242,0.15
Cold Cut Credit,Commit,800,120,2,Market,2,66,17.8,Bookrunner,Bookrunner,None,0.2696969697,0.15
Ipanema Investments,Commit,200,50,2,Market,2,12,3.1,Bookrunner,Bookrunner,None,0.2583333333,0.25
Beef and Broccoli Union,Commit,1100,170,5,Market,0,36,0,Participant,Bookrunner,Promoted,0,0.1545454545
Beef and Broccoli Union,Commit,1300,270,2,Market,2,114,10,Bookrunner,Bookrunner,None,0.08771929825,0.2076923077
Ipanema Investments,Commit,400,80,2,Market,2,58,20.5,Bookrunner,Bookrunner,None,0.3534482759,0.2
Beef and Broccoli Union,Commit,1400,390,9,Market,0,199,29.1,Bookrunner,Bookrunner,None,0.1462311558,0.2785714286
Damiba Investment Group,Decline,1600,110,4,Above,1,92,10.1,Bookrunner,Participant,Demoted,0.1097826087,0.06875
Damiba Investment Group,Commit,600,110,3,Market,2,56,16.3,Bookrunner,Bookrunner,None,0.2910714286,0.1833333333
Cold Cut Credit,Decline,300,50,2,Market,2,25,1.1,Bookrunner,Bookrunner,None,0.044,0.1666666667
Damiba Investment Group,Commit,1800,180,2,Above,2,226,43.8,Bookrunner,Participant,Demoted,0.1938053097,0.1
Ipanema Investments,Commit,500,90,3,Below,2,27,7.3,Bookrunner,Bookrunner,None,0.2703703704,0.18
Ipanema Investments,Commit,1000,120,4,Market,1,133,6,Participant,Participant,None,0.04511278195,0.12
Cold Cut Credit,Decline,1100,80,9,Market,0,131,19.5,Bookrunner,Participant,Demoted,0.1488549618,0.07272727273
Bank of Pepperoni Pizza,Commit,1700,180,5,Market,1,219,12.7,Participant,Participant,None,0.05799086758,0.1058823529
Ipanema Investments,Commit,900,200,1,Market,2,74,6.1,Bookrunner,Bookrunner,None,0.08243243243,0.2222222222
Ipanema Investments,Commit,1700,270,3,Market,2,227,50.2,Bookrunner,Bookrunner,None,0.2211453744,0.1588235294
Damiba Investment Group,Commit,2300,260,8,Market,0,307,40.8,Bookrunner,Participant,Demoted,0.1328990228,0.1130434783
Beef and Broccoli Union,Commit,1000,140,3,Market,3,157,40.2,Bookrunner,Bookrunner,None,0.2560509554,0.14
Ipanema Investments,Commit,1500,300,4,Market,1,296,41.7,Participant,Bookrunner,Promoted,0.1408783784,0.2
Ipanema Investments,Commit,1000,150,10,Market,0,65,9.8,Bookrunner,Bookrunner,None,0.1507692308,0.15
Beef and Broccoli Union,Decline,500,50,2,Market,2,43,3.8,Bookrunner,Participant,Demoted,0.08837209302,0.1
Bank of Pepperoni Pizza,Commit,800,150,3,Market,3,128,31.4,Bookrunner,Bookrunner,None,0.2453125,0.1875
Damiba Investment Group,Commit,600,110,1,Below,2,60,13.3,Bookrunner,Bookrunner,None,0.2216666667,0.1833333333
Bank of Pepperoni Pizza,Commit,1700,240,6,Market,2,296,4.1,Bookrunner,Bookrunner,None,0.01385135135,0.1411764706
Beef and Broccoli Union,Decline,1100,120,2,Market,2,118,10.1,Bookrunner,Participant,Demoted,0.08559322034,0.1090909091
Damiba Investment Group,Commit,900,220,2,Market,1,43,11.1,Bookrunner,Bookrunner,None,0.2581395349,0.2444444444
Bank of Pepperoni Pizza,Commit,1200,250,8,Above,0,158,62.9,Bookrunner,Bookrunner,None,0.3981012658,0.2083333333
Damiba Investment Group,Commit,600,80,1,Below,2,54,0.5,Bookrunner,Bookrunner,None,0.009259259259,0.1333333333
Cold Cut Credit,Decline,700,70,2,Above,2,38,7.1,Bookrunner,Participant,Demoted,0.1868421053,0.1
Damiba Investment Group,Decline,900,70,2,Market,2,54,4.8,Bookrunner,Participant,Demoted,0.08888888889,0.07777777778
Ipanema Investments,Commit,1400,190,5,Market,2,231,52.7,Bookrunner,Bookrunner,None,0.2281385281,0.1357142857
Beef and Broccoli Union,Commit,1000,140,3,Market,2,134,9.2,Bookrunner,Bookrunner,None,0.06865671642,0.14
Cold Cut Credit,Commit,1800,350,4,Market,1,166,17.4,Bookrunner,Bookrunner,None,0.1048192771,0.1944444444
Beef and Broccoli Union,Commit,1200,170,2,Market,2,124,20.1,Bookrunner,Bookrunner,None,0.1620967742,0.1416666667
Damiba Investment Group,Commit,400,70,2,Market,2,45,8.3,Participant,Bookrunner,Promoted,0.1844444444,0.175
Cold Cut Credit,Commit,1400,250,8,Market,0,212,33.5,Bookrunner,Bookrunner,None,0.1580188679,0.1785714286
Beef and Broccoli Union,Commit,900,150,1,Market,1,33,0,Participant,Bookrunner,Promoted,0,0.1666666667
Beef and Broccoli Union,Commit,1700,470,4,Market,1,196,11.8,Bookrunner,Bookrunner,None,0.06020408163,0.2764705882
Damiba Investment Group,Commit,900,150,2,Market,2,98,30.5,Bookrunner,Bookrunner,None,0.3112244898,0.1666666667
Bank of Pepperoni Pizza,Commit,1200,240,5,Above,1,70,27.9,Bookrunner,Bookrunner,None,0.3985714286,0.2
Cold Cut Credit,Commit,1000,150,1,Above,2,77,6,Bookrunner,Bookrunner,None,0.07792207792,0.15
Bank of Pepperoni Pizza,Commit,1200,190,5,Market,1,123,26.2,Bookrunner,Bookrunner,None,0.2130081301,0.1583333333
Bank of Pepperoni Pizza,Commit,800,160,2,Market,2,92,28.3,Bookrunner,Bookrunner,None,0.3076086957,0.2
Bank of Pepperoni Pizza,Commit,800,140,1,Below,2,63,20.9,Bookrunner,Bookrunner,None,0.3317460317,0.175
Bank of Pepperoni Pizza,Commit,1400,140,3,Market,2,152,14.4,Participant,Participant,None,0.09473684211,0.1
Beef and Broccoli Union,Commit,2400,370,2,Market,2,221,50.6,Bookrunner,Bookrunner,None,0.228959276,0.1541666667
Cold Cut Credit,Commit,1600,240,3,Market,2,122,6.5,Bookrunner,Bookrunner,None,0.05327868852,0.15
Bank of Pepperoni Pizza,Commit,1800,230,7,Market,0,258,1.3,Bookrunner,Bookrunner,None,0.00503875969,0.1277777778
Bank of Pepperoni Pizza,Commit,1100,190,10,Market,0,110,5.2,Bookrunner,Bookrunner,None,0.04727272727,0.1727272727
Cold Cut Credit,Commit,1800,350,3,Market,2,130,42.9,Bookrunner,Bookrunner,None,0.33,0.1944444444
Bank of Pepperoni Pizza,Commit,900,180,2,Market,2,87,24.7,Bookrunner,Bookrunner,None,0.283908046,0.2
Bank of Pepperoni Pizza,Decline,700,70,4,Market,2,107,11.7,Bookrunner,Participant,Demoted,0.1093457944,0.1
Beef and Broccoli Union,Decline,1000,180,6,Market,0,22,2.6,Bookrunner,Bookrunner,None,0.1181818182,0.18
Ipanema Investments,Decline,1100,130,7,Above,0,71,12.9,Bookrunner,Participant,Demoted,0.1816901408,0.1181818182
Bank of Pepperoni Pizza,Commit,600,100,2,Above,2,72,21.7,Bookrunner,Bookrunner,None,0.3013888889,0.1666666667
Cold Cut Credit,Commit,1400,330,5,Market,1,118,36.2,Bookrunner,Bookrunner,None,0.306779661,0.2357142857
Cold Cut Credit,Commit,500,60,2,Market,2,128,19.6,Participant,Bookrunner,Promoted,0.153125,0.12
Bank of Pepperoni Pizza,Commit,1400,190,5,Market,0,69,15,Bookrunner,Bookrunner,None,0.2173913043,0.1357142857
Damiba Investment Group,Commit,1700,280,3,Market,2,293,76.5,Bookrunner,Bookrunner,None,0.2610921502,0.1647058824
Damiba Investment Group,Commit,1200,210,5,Market,1,128,24.7,Bookrunner,Bookrunner,None,0.19296875,0.175
Cold Cut Credit,Commit,1300,220,10,Market,0,112,13.1,Bookrunner,Bookrunner,None,0.1169642857,0.1692307692
Damiba Investment Group,Commit,1400,250,7,Below,0,119,7,Bookrunner,Bookrunner,None,0.05882352941,0.1785714286
Ipanema Investments,Commit,1400,140,10,Market,0,206,27.2,Participant,Participant,None,0.132038835,0.1
Ipanema Investments,Commit,1300,180,9,Market,0,191,52,Bookrunner,Bookrunner,None,0.2722513089,0.1384615385
Damiba Investment Group,Commit,700,80,2,Above,2,78,10.1,Participant,Bookrunner,Promoted,0.1294871795,0.1142857143
Ipanema Investments,Commit,800,120,1,Market,2,76,4.7,Participant,Bookrunner,Promoted,0.06184210526,0.15
Bank of Pepperoni Pizza,Commit,1300,130,7,Market,1,208,32,Bookrunner,Participant,Demoted,0.1538461538,0.1
Cold Cut Credit,Commit,400,70,4,Market,1,22,2.9,Bookrunner,Bookrunner,None,0.1318181818,0.175
Beef and Broccoli Union,Decline,1300,160,2,Market,2,90,6.9,Bookrunner,Bookrunner,None,0.07666666667,0.1230769231
Damiba Investment Group,Commit,1000,180,5,Below,1,87,1.2,Participant,Bookrunner,Promoted,0.01379310345,0.18
Cold Cut Credit,Commit,900,170,3,Market,2,129,29.3,Bookrunner,Bookrunner,None,0.2271317829,0.1888888889
Damiba Investment Group,Commit,1600,340,4,Market,0,96,2,Participant,Bookrunner,Promoted,0.02083333333,0.2125
Damiba Investment Group,Commit,800,110,2,Market,2,41,6.4,Bookrunner,Bookrunner,None,0.156097561,0.1375
Damiba Investment Group,Commit,200,30,2,Market,1,3,0.4,Participant,Bookrunner,Promoted,0.1333333333,0.15
Bank of Pepperoni Pizza,Commit,1400,250,7,Market,0,196,24.1,Bookrunner,Bookrunner,None,0.1229591837,0.1785714286
Bank of Pepperoni Pizza,Commit,1000,120,9,Above,1,161,20.1,Bookrunner,Bookrunner,None,0.1248447205,0.12
Cold Cut Credit,Commit,1200,180,8,Market,0,98,14.3,Bookrunner,Bookrunner,None,0.1459183673,0.15
Beef and Broccoli Union,Commit,400,80,2,Market,2,44,17.6,Bookrunner,Bookrunner,None,0.4,0.2
Cold Cut Credit,Commit,500,60,2,Market,2,56,6.7,Bookrunner,Bookrunner,None,0.1196428571,0.12
Ipanema Investments,Commit,1400,300,6,Above,2,242,56.9,Bookrunner,Bookrunner,None,0.2351239669,0.2142857143
Ipanema Investments,Decline,900,100,2,Market,2,72,4.4,Bookrunner,Participant,Demoted,0.06111111111,0.1111111111
Beef and Broccoli Union,Commit,800,130,1,Market,1,19,0,Participant,Bookrunner,Promoted,0,0.1625
Bank of Pepperoni Pizza,Commit,1300,150,8,Market,0,121,27.8,Bookrunner,Participant,Demoted,0.2297520661,0.1153846154
Damiba Investment Group,Decline,1200,140,2,Market,2,65,17.4,Bookrunner,Participant,Demoted,0.2676923077,0.1166666667
Bank of Pepperoni Pizza,Commit,900,110,1,Above,2,121,5.1,Bookrunner,Bookrunner,None,0.04214876033,0.1222222222
Ipanema Investments,Commit,900,120,1,Market,2,102,12.1,Bookrunner,Bookrunner,None,0.118627451,0.1333333333
Bank of Pepperoni Pizza,Commit,1400,160,8,Market,0,212,53.8,Bookrunner,Participant,Demoted,0.2537735849,0.1142857143
Ipanema Investments,Commit,1400,190,5,Below,1,194,23.7,Bookrunner,Bookrunner,None,0.1221649485,0.1357142857
Beef and Broccoli Union,Commit,1500,290,7,Market,0,197,7.1,Bookrunner,Bookrunner,None,0.03604060914,0.1933333333
Cold Cut Credit,Commit,1100,160,2,Market,3,165,45.4,Bookrunner,Bookrunner,None,0.2751515152,0.1454545455
Cold Cut Credit,Commit,700,90,4,Above,1,37,1.1,Bookrunner,Bookrunner,None,0.02972972973,0.1285714286
Ipanema Investments,Commit,1300,290,7,Market,0,137,8.2,Bookrunner,Bookrunner,None,0.0598540146,0.2230769231
Damiba Investment Group,Commit,500,30,1,Market,2,52,3.6,Participant,Participant,None,0.06923076923,0.06
Damiba Investment Group,Commit,1500,240,1,Market,2,157,37.2,Bookrunner,Bookrunner,None,0.2369426752,0.16
Bank of Pepperoni Pizza,Commit,1100,130,3,Above,1,19,2.2,Bookrunner,Participant,Demoted,0.1157894737,0.1181818182
Ipanema Investments,Decline,1200,120,4,Market,0,20,3.8,Bookrunner,Participant,Demoted,0.19,0.1
Damiba Investment Group,Commit,700,110,3,Market,2,58,0.6,Bookrunner,Bookrunner,None,0.01034482759,0.1571428571
Beef and Broccoli Union,Decline,600,80,2,Market,2,53,1.4,Bookrunner,Bookrunner,None,0.02641509434,0.1333333333
Beef and Broccoli Union,Decline,500,40,2,Market,2,33,5,Bookrunner,Participant,Demoted,0.1515151515,0.08
Beef and Broccoli Union,Decline,1000,90,5,Market,1,92,17,Bookrunner,Participant,Demoted,0.1847826087,0.09
Bank of Pepperoni Pizza,Commit,1300,210,3,Market,3,218,64.7,Bookrunner,Bookrunner,None,0.2967889908,0.1615384615
Bank of Pepperoni Pizza,Commit,1200,130,7,Above,0,95,21.9,Bookrunner,Participant,Demoted,0.2305263158,0.1083333333
Cold Cut Credit,Commit,1200,210,4,Below,1,68,13.3,Bookrunner,Bookrunner,None,0.1955882353,0.175
Cold Cut Credit,Commit,500,80,2,Market,2,62,16.6,Bookrunner,Bookrunner,None,0.2677419355,0.16
Ipanema Investments,Commit,500,80,3,Above,2,48,0,Participant,Bookrunner,Promoted,0,0.16
Damiba Investment Group,Commit,500,110,3,Market,2,71,13.6,Bookrunner,Bookrunner,None,0.1915492958,0.22
Bank of Pepperoni Pizza,Commit,1000,130,6,Market,2,320,1.3,Bookrunner,Bookrunner,None,0.0040625,0.13
Cold Cut Credit,Commit,300,40,2,Market,2,37,9.3,Bookrunner,Bookrunner,None,0.2513513514,0.1333333333
Damiba Investment Group,Commit,1900,310,7,Market,0,91,7.9,Participant,Bookrunner,Promoted,0.08681318681,0.1631578947
Damiba Investment Group,Commit,700,130,2,Below,2,89,21.3,Bookrunner,Bookrunner,None,0.2393258427,0.1857142857
Cold Cut Credit,Commit,1700,320,8,Market,0,451,57.7,Bookrunner,Bookrunner,None,0.1279379157,0.1882352941
Cold Cut Credit,Commit,1500,80,6,Market,1,80,5.5,Participant,Participant,None,0.06875,0.05333333333
Cold Cut Credit,Commit,1000,130,2,Market,2,109,11.9,Participant,Bookrunner,Promoted,0.1091743119,0.13
Ipanema Investments,Commit,1000,130,7,Market,0,57,7.6,Bookrunner,Bookrunner,None,0.1333333333,0.13
Cold Cut Credit,Commit,1100,170,5,Market,0,36,5.1,Bookrunner,Bookrunner,None,0.1416666667,0.1545454545
Beef and Broccoli Union,Commit,400,70,1,Above,2,33,0.8,Participant,Bookrunner,Promoted,0.02424242424,0.175
Bank of Pepperoni Pizza,Commit,900,160,1,Market,2,119,35,Participant,Bookrunner,Promoted,0.2941176471,0.1777777778
Damiba Investment Group,Commit,800,110,2,Market,2,73,15.5,Bookrunner,Bookrunner,None,0.2123287671,0.1375
Beef and Broccoli Union,Commit,200,30,1,Market,3,35,8.9,Bookrunner,Bookrunner,None,0.2542857143,0.15
Cold Cut Credit,Commit,900,190,1,Market,2,93,34,Participant,Bookrunner,Promoted,0.3655913978,0.2111111111
Damiba Investment Group,Commit,700,90,1,Below,2,64,0.7,Bookrunner,Bookrunner,None,0.0109375,0.1285714286
Cold Cut Credit,Commit,1300,200,8,Market,0,188,23.5,Bookrunner,Bookrunner,None,0.125,0.1538461538
Ipanema Investments,Decline,200,20,1,Market,2,29,3.6,Bookrunner,Participant,Demoted,0.124137931,0.1
Beef and Broccoli Union,Commit,600,90,4,Market,1,67,9.6,Participant,Bookrunner,Promoted,0.1432835821,0.15
Damiba Investment Group,Commit,1200,200,7,Market,0,116,22.5,Bookrunner,Bookrunner,None,0.1939655172,0.1666666667
Bank of Pepperoni Pizza,Commit,1200,90,1,Market,2,110,17.7,Bookrunner,Participant,Demoted,0.1609090909,0.075
Beef and Broccoli Union,Commit,1200,240,2,Market,1,53,7.5,Participant,Bookrunner,Promoted,0.141509434,0.2
